PlayervsPlayer;Round0;Round1;Round2;Round3;Round4;Round5;Round6;Round7;Round8;Round9;Round10;Round11;Round12;Round13;Round14;Round15;Round16;Round17;Round18;Round19;Round20;Round21;Round22;Round23;Round24;Round25;Round26;Round27;Round28;Round29;Round30;Round31;Round32;Round33;Round34;Round35;Round36;Round37;Round38;Round39;Round40;Round41;Round42;Round43;Round44;Round45;Round46;Round47;Round48;Round49;Round50;Round51;Round52;Round53;Round54;Round55;Round56;Round57;Round58;Round59;Round60;Round61;Round62;Round63;Round64;Round65;Round66;Round67;Round68;Round69;Round70;Round71;Round72;Round73;Round74;Round75;Round76;Round77;Round78;Round79;Round80;Round81;Round82;Round83;Round84;Round85;Round86;Round87;Round88;Round89;Round90;Round91;Round92;Round93;Round94;Round95;Round96;Round97;Round98;Round99
0vs1;1012;1096;1180;1192;1180;1192;1204;1216;1252;1288;1300;1312;1300;1288;1300;1312;1348;1312;1276;1288;1252;1240;1204;1144;1108;1096;1108;1120;1204;1192;1180;1120;1156;1072;1012;976;1012;1048;1084;1048;1108;1048;1036;1048;1084;1024;1036;1024;964;976;1036;1048;1012;1000;1012;976;1012;1024;1012;952;940;832;868;832;868;856;772;784;748;760;700;664;652;664;676;712;724;760;724;664;676;712;700;640;676;688;700;688;700;760;772;832;748;760;796;760;724;712;724;760
0vs2;1012;1024;1036;1000;964;856;892;880;772;784;820;760;796;736;748;784;748;736;796;760;748;808;820;784;748;688;628;640;652;664;628;640;628;616;604;592;652;664;700;688;676;688;676;688;628;664;652;664;652;616;580;616;580;592;532;544;508;544;532;568;556;544;532;544;484;472;460;448;532;520;484;448;436;424;484;448;364;376;388;376;388;376;364;400;436;424;484;496;484;520;628;592;580;664;676;736;748;784;820;808
0vs3;1012;1072;1132;1144;1180;1168;1180;1192;1228;1312;1252;1240;1204;1240;1180;1192;1204;1192;1252;1264;1252;1288;1300;1312;1348;1360;1348;1360;1348;1384;1396;1384;1372;1456;1444;1480;1468;1480;1420;1456;1372;1360;1348;1336;1372;1384;1396;1408;1468;1504;1516;1480;1492;1504;1540;1576;1636;1696;1732;1768;1756;1768;1780;1840;1852;1864;1924;1912;1876;1888;1924;1936;1924;1960;1972;1912;1900;1936;1996;2056;2068;2128;2140;2128;2068;2080;2116;2032;1996;1936;1852;1864;1852;1792;1804;1768;1780;1792;1732;1744
0vs4;1012;952;940;928;916;928;892;976;988;1048;1060;1096;1108;1120;1036;1048;1012;1024;1036;1000;988;1000;988;1048;1036;976;964;904;916;904;868;856;820;856;892;904;844;856;868;856;844;832;820;808;820;808;820;784;844;832;820;784;796;832;820;832;868;880;892;928;940;952;940;904;940;976;1036;1072;1036;1024;988;976;988;952;940;976;1012;1048;988;1048;1036;1048;1036;1072;1084;1120;1156;1216;1228;1216;1204;1192;1156;1168;1228;1288;1324;1288;1276;1288
0vs5;1012;1024;964;928;916;904;916;904;892;928;988;1024;1060;1096;1132;1144;1108;1096;1156;1192;1252;1216;1180;1192;1204;1264;1228;1240;1252;1312;1300;1336;1276;1312;1300;1288;1276;1288;1228;1192;1204;1168;1132;1168;1180;1168;1204;1216;1180;1144;1108;1096;1132;1048;1036;1000;1036;1048;1036;1000;1060;1096;1108;1024;1012;1000;1036;1072;1084;1072;1108;1120;1132;1144;1132;1144;1180;1168;1180;1168;1156;1120;1108;1120;1132;1120;1036;1024;988;952;988;952;1012;1048;1060;1072;1084;1072;1060;1096
0vs6;988;928;916;952;916;952;940;952;988;928;964;976;964;1024;1012;1072;1084;1048;964;952;964;976;940;952;916;952;1012;1024;1060;1048;1060;1096;1108;1096;1060;1144;1084;1072;1084;1144;1156;1216;1276;1240;1204;1240;1252;1216;1180;1192;1228;1216;1180;1144;1132;1096;1084;1072;1132;1120;1084;1096;1084;1096;1060;1000;1036;1096;1084;1072;1156;1144;1156;1168;1132;1096;1108;1072;1060;1072;1084;1072;1156;1120;1108;1120;1084;1096;1132;1192;1204;1240;1276;1216;1228;1192;1228;1288;1228;1240
0vs7;1012;952;940;928;916;928;964;928;940;904;892;880;844;880;868;856;868;952;964;952;1012;1024;1036;1024;988;1000;1060;1024;988;1024;1084;1072;1108;1072;1084;1024;1060;1024;988;976;988;1024;988;928;916;856;892;952;916;976;964;1048;1108;1168;1252;1240;1180;1168;1156;1168;1156;1120;1084;1096;1132;1120;1084;1096;1132;1168;1204;1288;1300;1264;1300;1336;1324;1312;1300;1288;1204;1216;1180;1192;1204;1240;1252;1288;1276;1288;1276;1264;1252;1288;1204;1192;1180;1192;1156;1168
0vs8;988;976;940;952;1012;1024;1060;1048;964;928;964;952;868;880;892;880;892;952;892;904;964;928;964;928;964;976;988;976;940;880;868;880;916;904;964;976;1036;976;1012;976;964;952;916;1000;1036;1096;1060;1048;1132;1168;1180;1192;1156;1168;1108;1168;1084;1096;1060;1048;1036;1000;1036;1072;1132;1144;1180;1144;1180;1216;1180;1192;1156;1144;1084;1000;988;952;1036;1024;988;952;964;928;916;928;964;976;1012;1000;964;1000;1036;1000;964;952;940;952;1012;1000
0vs9;988;1024;1012;1000;1036;1072;1036;1024;1108;1024;964;952;1012;952;964;904;892;880;844;880;844;832;844;808;868;880;892;880;820;760;772;808;796;784;844;808;796;784;796;832;844;880;964;904;892;904;868;856;844;832;796;736;772;832;868;880;892;808;772;760;748;832;820;832;772;856;844;808;796;784;772;784;820;808;772;832;844;856;844;784;820;784;796;832;820;808;748;760;772;784;748;736;772;760;748;784;772;712;724;688
1vs2;1000;1036;1024;1012;952;844;904;868;760;796;808;772;784;724;736;772;760;748;784;772;760;796;832;772;760;700;616;628;664;676;616;652;640;628;616;604;640;652;712;676;688;700;664;676;640;652;640;676;640;604;592;604;592;580;520;532;520;532;520;580;568;532;544;532;496;484;448;460;520;532;496;460;424;412;472;436;352;388;400;364;376;364;376;388;424;436;472;484;496;532;640;604;592;676;688;748;736;772;808;820
