PlayervsPlayer;Round0;Round1;Round2;Round3;Round4;Round5;Round6;Round7;Round8;Round9;Round10;Round11;Round12;Round13;Round14;Round15;Round16;Round17;Round18;Round19;Round20;Round21;Round22;Round23;Round24;Round25;Round26;Round27;Round28;Round29;Round30;Round31;Round32;Round33;Round34;Round35;Round36;Round37;Round38;Round39;Round40;Round41;Round42;Round43;Round44;Round45;Round46;Round47;Round48;Round49;Round50;Round51;Round52;Round53;Round54;Round55;Round56;Round57;Round58;Round59;Round60;Round61;Round62;Round63;Round64;Round65;Round66;Round67;Round68;Round69;Round70;Round71;Round72;Round73;Round74;Round75;Round76;Round77;Round78;Round79;Round80;Round81;Round82;Round83;Round84;Round85;Round86;Round87;Round88;Round89;Round90;Round91;Round92;Round93;Round94;Round95;Round96;Round97;Round98;Round99
0vs1;992;1032;1024;984;1008;968;960;968;976;984;944;984;992;1000;1008;1016;1024;1016;976;968;992;968;976;984;976;968;976;952;896;936;928;920;960;1000;1024;984;944;936;960;952;944;920;928;920;928;968;944;952;944;936;944;952;944;888;896;856;848;840;848;824;784;776;784;776;784;776;784;728;704;728;736;744;736;712;720;680;672;664;656;680;656;664;656;680;688;696;704;696;720;744;768;728;720;712;672;696;704;728;736;744
0vs2;992;1032;1024;1016;1024;1000;992;1000;1040;1016;1024;1032;1056;1096;1072;1064;1024;1000;976;968;944;968;960;968;992;968;928;952;912;904;896;872;832;808;800;808;816;856;880;904;928;920;928;936;896;888;864;856;848;824;800;856;848;840;848;888;896;872;864;888;896;888;880;888;896;920;912;904;896;872;880;872;832;808;768;808;800;776;768;760;800;792;800;792;816;808;768;760;800;792;816;824;800;776;800;792;784;760;800;824
0vs3;992;968;944;936;976;968;960;952;960;936;896;888;880;872;832;856;896;904;896;856;800;776;784;776;752;744;752;712;704;728;720;728;720;712;688;680;688;664;640;616;624;664;640;664;640;648;640;632;624;616;640;664;688;712;752;760;768;776;800;856;832;856;896;936;912;904;880;856;880;840;800;776;816;840;848;840;864;904;912;904;864;856;880;872;848;872;832;888;880;904;912;904;960;1000;976;984;944;968;992;968
0vs4;1008;984;960;952;896;920;944;952;944;888;896;920;912;904;928;904;896;888;928;888;880;856;848;840;848;824;800;808;800;776;784;792;784;792;752;808;800;792;800;808;784;776;800;792;768;760;800;776;784;808;800;776;784;776;768;744;752;744;720;696;672;664;688;632;672;648;640;648;672;664;688;680;656;680;688;680;672;632;656;648;624;616;640;648;640;616;624;584;560;584;560;536;512;536;560;552;544;568;544;552
0vs5;992;968;1024;984;928;968;992;968;944;952;976;952;928;952;928;872;848;840;896;888;848;840;816;792;800;824;864;824;864;856;816;824;864;824;800;824;864;856;832;824;800;808;816;856;896;872;864;856;848;888;864;872;864;872;848;856;848;856;880;856;880;888;880;872;896;888;880;920;880;872;880;872;864;856;880;904;928;936;928;936;944;952;944;952;976;984;992;1032;1040;1048;1056;1016;1008;1016;1008;1000;1056;1080;1104;1128
0vs6;1008;1032;1024;1064;1040;1048;1024;1048;1040;1032;1024;984;960;952;944;936;944;968;960;968;992;984;1008;1048;1040;1064;1088;1080;1152;1128;1136;1160;1136;1160;1184;1160;1168;1160;1168;1176;1216;1224;1200;1192;1200;1208;1184;1208;1200;1176;1152;1096;1152;1112;1120;1144;1136;1144;1120;1064;1056;1096;1056;1096;1072;1048;1040;1032;1024;1016;1008;1048;1072;1096;1104;1096;1072;1096;1088;1080;1088;1080;1056;1064;1056;1080;1104;1064;1072;1032;1024;1032;1024;1000;1024;1016;1024;984;960;968
0vs7;992;1000;1024;1048;1056;1080;1072;1048;1040;1096;1136;1144;1168;1144;1136;1192;1200;1224;1216;1192;1232;1288;1280;1288;1312;1320;1296;1320;1328;1320;1360;1336;1344;1368;1408;1416;1424;1384;1344;1352;1360;1368;1376;1416;1440;1448;1440;1416;1424;1400;1408;1400;1424;1464;1472;1448;1424;1432;1472;1512;1552;1560;1552;1560;1536;1544;1552;1592;1632;1640;1664;1656;1648;1656;1664;1688;1680;1720;1728;1768;1744;1736;1744;1800;1792;1800;1840;1832;1824;1784;1792;1832;1808;1800;1808;1832;1760;1784;1760;1768
0vs8;992;984;992;1016;1024;1048;1024;1032;1040;1096;1104;1112;1152;1144;1136;1144;1168;1144;1120;1160;1168;1160;1136;1128;1152;1176;1168;1160;1168;1192;1184;1160;1168;1128;1152;1128;1152;1160;1168;1192;1216;1224;1184;1144;1152;1160;1152;1160;1120;1144;1152;1144;1104;1112;1120;1096;1136;1128;1104;1096;1072;1048;1040;1016;1008;1048;1072;1080;1088;1096;1072;1064;1072;1064;1072;1112;1104;1112;1104;1128;1184;1192;1184;1176;1184;1176;1184;1192;1184;1160;1184;1208;1216;1240;1200;1160;1216;1224;1232;1176
0vs9;1008;984;944;936;960;968;976;984;960;936;912;920;912;888;928;920;912;920;896;952;976;1000;1008;968;944;936;944;1000;992;968;1008;1048;1008;1032;992;1032;1024;1016;992;1000;976;968;1024;1048;1072;1048;1056;1064;1088;1096;1120;1064;1040;1032;1008;1032;992;1000;992;1000;1008;984;960;936;928;936;928;952;960;1016;1040;1032;1056;1032;1024;1000;992;984;960;936;928;952;960;904;896;872;848;872;864;840;784;776;800;776;784;792;800;792;768;776
1vs2;984;1024;1032;1024;1032;992;1000;1008;1032;1024;1016;1040;1048;1088;1080;1056;1016;992;968;960;936;976;952;976;984;976;936;960;904;896;888;880;824;800;808;816;824;848;888;912;936;912;936;944;888;880;872;864;840;816;808;864;856;848;856;880;904;864;856;896;888;880;888;896;888;912;920;912;888;864;888;864;824;800;776;800;792;768;760;768;808;784;792;784;808;800;760;768;792;800;824;816;792;768;792;800;776;768;808;832
